X,Y,MANUFACTUR,OWNER,CITY_FILE,SHEET_NUM,YEAR_BUILT,STATUS,SOURCE,COMMENT,PIPE_ID,ASSETID,LAST_UPDAT,STATION,TRUCK,SHIFT,INSPECTION,CONDITION,icon_url
-97.0437858949655,32.7019384683126,MUELLER,GRAND PRAIRIE,P-1585,C-401,"2019",ACTIVE,AS BUILT,,,"7719",2019/10/03,,,,,,./0.png
-97.0436437370641,32.7008921778855,MUELLER,GRAND PRAIRIE,P-1585,C-401,"2019",ACTIVE,AS BUILT,,,"7724",2019/10/03,,,,,,./0.png
-97.041853720664,32.7012936201125,MUELLER,GRAND PRAIRIE,P-1585,C-401,"2019",ACTIVE,AS BUILT,,,"7721",2019/10/03,,,,,,./0.png
-97.0418403876172,32.7021181674561,MUELLER,GRAND PRAIRIE,P-1585,C-401,"2019",ACTIVE,AS BUILT,,,"7718",2019/10/03,,,,,,./0.png
-96.9450717764969,32.7592001708392,MUELLER,GRAND PRAIRIE,P-1515,C5.1,"2016",ACTIVE,DESIGN PLANS,,,"7726",2019/10/15,,,,,,./0.png
-96.9458936519796,32.7591736991594,MUELLER,GRAND PRAIRIE,P-1515,C5.1,"2016",ACTIVE,DESIGN PLANS,,,"7730",2019/10/15,,,,,,./0.png
-96.9468498185046,32.7592762085392,MUELLER,GRAND PRAIRIE,P-1515,C5.1,"2016",ACTIVE,DESIGN PLANS,,,"7728",2023/02/07,,,,,,./0.png
-96.9468722473469,32.7601741145543,MUELLER,GRAND PRAIRIE,P-1515,C5.1,"2016",ACTIVE,DESIGN PLANS,,,"7732",2022/08/25,,,,,,./0.png
-96.9463474018356,32.7605852815383,MUELLER,GRAND PRAIRIE,P-1515,C5.1,"2016",ACTIVE,DESIGN PLANS,,,"7729",2019/10/15,,,,,,./0.png
-96.9443799799237,32.7604457303343,MUELLER,GRAND PRAIRIE,P-1515,C5.1,"2016",ACTIVE,DESIGN PLANS,,,"7727",2020/05/05,,,,,,./0.png
-96.9965491551929,32.7422198314183,MUELLER,PRIVATE,Charley_Taylor_RecCenter,SC-16~C1.12,"2017",ACTIVE,DESIGN PLANS,,,"7731",2019/10/15,,,,,,./0.png
-97.0210594182793,32.6926184858217,MUELLER,GRAND PRAIRIE,P-1571,C-09.00~C-09.01,"2018",ACTIVE,AS BUILT,,,"7733",2019/10/31,,,,,,./0.png
-97.021805951154,32.6926198185106,MUELLER,GRAND PRAIRIE,P-1571,C-09.00~C-09.01,"2018",ACTIVE,AS BUILT,,,"7734",2023/08/14,,,,,,./0.png
-97.0225523274316,32.6926590349014,MUELLER,GRAND PRAIRIE,P-1571,C-09.00~C-09.01,"2018",ACTIVE,AS BUILT,,,"7735",2022/05/19,,,,,,./0.png
-97.0225524078236,32.6921451702503,MUELLER,GRAND PRAIRIE,P-1571,C-09.00~C-09.01,"2018",ACTIVE,AS BUILT,,,"7736",2019/10/31,,,,,,./0.png
-97.0390638729234,32.678221800756,MUELLER,GRAND PRAIRIE,P-1541,16-17,"2016",ACTIVE,AS BUILT,,,"7737",2019/11/14,,,,,,./0.png
-97.0377759454835,32.6782332246464,MUELLER,GRAND PRAIRIE,P-1541,16-17,"2016",ACTIVE,AS BUILT,,,"7744",2019/11/14,,,,,,./0.png
-97.0369032921923,32.6784835371908,MUELLER,GRAND PRAIRIE,P-1541,16-17,"2016",ACTIVE,AS BUILT,,,"7740",2019/11/14,,,,,,./0.png
-97.0363739673045,32.6785985352587,MUELLER,GRAND PRAIRIE,P-1541,16-17,"2016",ACTIVE,AS BUILT,,,"7747",2019/11/14,,,,,,./0.png
-97.0364462642787,32.6782347940398,MUELLER,GRAND PRAIRIE,P-1541,16-17,"2016",ACTIVE,AS BUILT,,,"7743",2019/11/14,,,,,,./0.png
-97.035650641816,32.6782155867178,MUELLER,GRAND PRAIRIE,P-1541,16-17,"2016",ACTIVE,AS BUILT,,,"7739",2019/11/14,,,,,,./0.png
-97.0347060552647,32.6780263103669,MUELLER,GRAND PRAIRIE,P-1541,16-17,"2016",ACTIVE,AS BUILT,,,"7746",2019/11/14,,,,,,./0.png
-97.0432302578241,32.648835767489,MUELLER,GRAND PRAIRIE,P-1591,C6.0,"2018",ACTIVE,AS BUILT,,,"7742",2019/11/14,,,,,,./0.png
-97.028388656752,32.6824127041583,MUELLER,PRIVATE,P-1583,C5.1,"2018",ACTIVE,AS BUILT,,,"7738",2019/11/14,,,,,,./0.png
-97.0282108604962,32.6836298504015,MUELLER,PRIVATE,P-1583,C5.1,"2018",ACTIVE,AS BUILT,,,"7745",2019/11/14,,,,,,./0.png
